num,number_of_landmarks,approximation_error,LU_ratio,network,strategy
0,40,0.281805239,0.392374523,amazon,baseline
1,60,0.253298205,0.427499916,amazon,baseline
2,80,0.244527125,0.44846578,amazon,baseline
3,100,0.233516797,0.465962053,amazon,baseline
4,120,0.22581945,0.482001217,amazon,baseline
5,40,0.325184282,0.288795305,dblp,baseline
6,60,0.300108328,0.316582749,dblp,baseline
7,80,0.283282762,0.337546031,dblp,baseline
8,100,0.278695967,0.351830799,dblp,baseline
9,120,0.272985019,0.364794167,dblp,baseline
10,40,0.345451429,0.291661905,livemocha,baseline
11,60,0.333769524,0.316169524,livemocha,baseline
12,80,0.31839619,0.338069524,livemocha,baseline
13,100,0.307455238,0.358328571,livemocha,baseline
14,120,0.297760952,0.371227619,livemocha,baseline
15,40,0.304272334,0.26089887,youtube,baseline
16,60,0.298893129,0.276745649,youtube,baseline
17,80,0.279259725,0.295844664,youtube,baseline
18,100,0.275050172,0.306267617,youtube,baseline
19,120,0.272368397,0.315134572,youtube,baseline
20,40,0.362385079,0.25376254,wikipedia,baseline
21,60,0.34676127,0.276614921,wikipedia,baseline
22,80,0.337089841,0.291912698,wikipedia,baseline
23,100,0.324926032,0.309582222,wikipedia,baseline
24,120,0.320359365,0.316415556,wikipedia,baseline
25,40,0.119693511,0.463161833,amazon,strategy1
26,60,0.11009473,0.48978401,amazon,strategy1
27,80,0.098869486,0.502803767,amazon,strategy1
28,100,0.096521554,0.514466232,amazon,strategy1
29,120,0.088670008,0.532206,amazon,strategy1
30,40,0.13244511,0.364469559,dblp,strategy1
31,60,0.111429282,0.39725762,dblp,strategy1
32,80,0.099280956,0.418868717,dblp,strategy1
33,100,0.094217844,0.433469604,dblp,strategy1
34,120,0.09197744,0.439387771,dblp,strategy1
35,40,0.135386667,0.373513333,livemocha,strategy1
36,60,0.11608,0.414166667,livemocha,strategy1
37,80,0.10002,0.444186667,livemocha,strategy1
38,100,0.090086667,0.463346667,livemocha,strategy1
39,120,0.08208,0.48142,livemocha,strategy1
40,40,0.04926,0.411841905,wikipedia,strategy1
41,60,0.039326667,0.435979048,wikipedia,strategy1
42,80,0.033313333,0.467595238,wikipedia,strategy1
43,100,0.029713333,0.487541905,wikipedia,strategy1
44,120,0.02696,0.504895238,wikipedia,strategy1
45,40,0.031756854,0.379688211,youtube,strategy1
46,60,0.029365267,0.39083456,youtube,strategy1
47,80,0.025473521,0.403785195,youtube,strategy1
48,100,0.021620967,0.417949913,youtube,strategy1
49,120,0.020176681,0.426841183,youtube,strategy1
50,40,0.417625379,0,amazon,strategy2
51,60,0.41577885,0,amazon,strategy2
52,80,0.410854472,0,amazon,strategy2
53,100,0.425937623,0,amazon,strategy2
54,120,0.410771324,0,amazon,strategy2
55,40,0.432728071,0,dblp,strategy2
56,60,0.435706704,0,dblp,strategy2
57,80,0.426681976,0,dblp,strategy2
58,100,0.426832525,0,dblp,strategy2
59,120,0.423743354,0,dblp,strategy2
60,40,0.458213333,0,livemocha,strategy2
61,60,0.460063016,0,livemocha,strategy2
62,80,0.457780317,0,livemocha,strategy2
63,100,0.45504619,0,livemocha,strategy2
64,120,0.44560127,0,livemocha,strategy2
65,40,0.374523986,0,youtube,strategy2
66,60,0.371666174,0,youtube,strategy2
67,80,0.365165992,0,youtube,strategy2
68,100,0.367928242,0,youtube,strategy2
69,120,0.364423891,0,youtube,strategy2
70,40,0.4068,0,wikipedia,strategy2
71,60,0.3994,0,wikipedia,strategy2
72,80,0.3953,0,wikipedia,strategy2
73,100,0.3958,0,wikipedia,strategy2
74,120,0.3967,0,wikipedia,strategy2
